publishing_body,tool_name,published,url
,DSIT - Redbox,2025-04-28T18:31:09Z,https://www.gov.uk/algorithmic-transparency-records/dsit-redbox
DESNZ,Warm Homes: Local Grant,2026-03-30T09:18:04Z,https://www.gov.uk/algorithmic-transparency-records/desnz-warm-homes-local-grant
Cabinet Office,Civil Service Verbal and Numerical Tests,2025-12-16T12:11:29Z,https://www.gov.uk/algorithmic-transparency-records/cabinet-office-civil-service-verbal-and-numerical-tests
ICO,ICE 360 Case Creation Automation,2026-04-13T12:50:51Z,https://www.gov.uk/algorithmic-transparency-records/ico-ice-360-case-creation-automation
Valuation Office Agency,Automated Valuation Model,2025-08-06T08:38:21Z,https://www.gov.uk/algorithmic-transparency-records/valuation-office-agency-automated-valuation-model
Insolvency Service,Director Conduct Reporting Service - Rules Engine,2025-04-28T18:31:08Z,https://www.gov.uk/algorithmic-transparency-records/insolvency-service-director-conduct-reporting-service-rules-engine
Leeds City Council,Xylo Core,2025-11-27T15:31:41Z,https://www.gov.uk/algorithmic-transparency-records/leeds-city-council-xylo-core
Home Office,Complexity Application Routing Solution - Visits,2024-12-17T08:01:13Z,https://www.gov.uk/algorithmic-transparency-records/home-office-complexity-application-routing-solution-visits
UKHO,Tidal Harmonic Analysis and Prediction,2025-10-30T08:06:13Z,https://www.gov.uk/algorithmic-transparency-records/ukho-tidal-harmonic-analysis-and-prediction
NS&I,Customer Chatbot,2025-02-27T07:59:45Z,https://www.gov.uk/algorithmic-transparency-records/ns-and-i-customer-chatbot
NHS Blood & Transplant,Organ Offering Scheme Algorithms,2025-06-26T07:37:34Z,https://www.gov.uk/algorithmic-transparency-records/nhs-blood-and-transplant-organ-offering-scheme-algorithms
London Borough of Sutton,"Access Assure, Technology Enabled Care",2025-01-28T07:09:38Z,https://www.gov.uk/algorithmic-transparency-records/london-borough-of-sutton-access-assure-technology-enabled-care
ICO,Chatbot,2026-01-14T07:42:18Z,https://www.gov.uk/algorithmic-transparency-records/ico-chatbot
UK Export Finance,PRISM (Portfolio Risk Simulation Model),2025-12-16T12:08:07Z,https://www.gov.uk/algorithmic-transparency-records/uk-export-finance-prism-portfolio-risk-simulation-model
Insolvency Service,Redundancy Payment Calculation Engine,2025-06-26T07:38:46Z,https://www.gov.uk/algorithmic-transparency-records/insolvency-service-redundancy-payment-calculation-engine
Office for National Statistics,Survey Assist,2025-10-30T08:03:28Z,https://www.gov.uk/algorithmic-transparency-records/office-for-national-statistics-survey-assist
DWP,Employment and Support Allowance Online Medical Matching,2025-02-10T07:51:51Z,https://www.gov.uk/algorithmic-transparency-records/dwp-employment-and-support-allowance-online-medical-matching
FCDO,Correspondence Triage,2025-12-16T12:09:30Z,https://www.gov.uk/algorithmic-transparency-records/fcdo-correspondence-triage
Care Quality Commission,Risk Categorisation,2026-03-30T09:18:38Z,https://www.gov.uk/algorithmic-transparency-records/care-quality-commission-risk-categorisation
DSIT,GOV.UK site search,2025-02-10T07:53:40Z,https://www.gov.uk/algorithmic-transparency-records/dsit-gov-dot-uk-site-search
Hampshire and Thames Valley Police,DARAT,2024-02-29T17:36:25Z,https://www.gov.uk/algorithmic-transparency-records/hampshire-and-thames-valley-police-darat
HMT,Policy Engine UK,2024-12-17T08:00:19Z,https://www.gov.uk/algorithmic-transparency-records/hmt-modelling-policy-engine
National Highways,Highways Webchat,2025-02-10T07:52:58Z,https://www.gov.uk/algorithmic-transparency-records/national-highways-highways-webchat
Natural England,AI4Peat,2025-10-30T08:04:56Z,https://www.gov.uk/algorithmic-transparency-records/natural-england-ai4peat
Natural England,Living England,2025-02-10T07:54:03Z,https://www.gov.uk/algorithmic-transparency-records/natural-england-living-england
,Whitemail Insights and Vulnerability Scanner,2025-11-27T15:28:20Z,https://www.gov.uk/algorithmic-transparency-records/whitemail-insights-and-vulnerability-scanner
